"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CATTLE, COWS, BEEF - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, BEEF - INVENTORY  -  <b>CV (%)</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>CV (%)</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>"
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","ALLEN","003","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","",""," (D)","","6,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","DEFIANCE","039","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","4,300","","10,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","FULTON","051","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","2,700","","33,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","HANCOCK","063","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,000","","3,200",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","HENRY","069","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,600","","7,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","LUCAS","095","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","",""," (D)",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","PAULDING","125","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","9,100","","10,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","PUTNAM","137","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","4,600","","16,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","VAN WERT","161","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,000","","12,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","WILLIAMS","171","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","5,500","","17,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","WOOD","173","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","",""," (D)","","6,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","ADAMS","001","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","2,200","","26,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","BROWN","015","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","600","","18,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","GALLIA","053","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","17,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","HIGHLAND","071","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,800","","22,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","JACKSON","079","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","300","","10,900",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","LAWRENCE","087","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","5,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","PIKE","131","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","400","","6,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","SCIOTO","145","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","300","","8,400",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","ATHENS","009","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","300","","7,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","GUERNSEY","059","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","500","","20,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","HOCKING","073","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","2,200",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MEIGS","105","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,100","","10,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MONROE","111","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","700","","14,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MORGAN","115","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","900","","14,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MUSKINGUM","119","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,000","","32,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","NOBLE","121","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","12,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","PERRY","127","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","300","","8,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","VINTON","163","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","3,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","WASHINGTON","167","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,900","","20,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","BUTLER","017","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","300","","14,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","CLERMONT","025","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","4,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","CLINTON","027","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","500","","5,900",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","GREENE","057","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","700","","5,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","HAMILTON","061","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","",""," (D)","","1,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","MONTGOMERY","113","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","200","","8,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","PREBLE","135","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,100","","19,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","WARREN","165","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","100","","4,100",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","AUGLAIZE","011","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","5,000","","25,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","CHAMPAIGN","021","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,100","","8,700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","CLARK","023","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","",""," (D)","","17,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","DARKE","037","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","7,900","","40,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","HARDIN","065","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","7,000","","14,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","LOGAN","091","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","3,200","","10,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","MERCER","107","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","16,700","","81,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","MIAMI","109","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","1,300","","10,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","SHELBY","149","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","","","7,100","","28,000",""
"SURVEY","2022","FIRST OF JAN","","STATE","OHIO","39","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","312,000","","248,000","","1,320,000",""
