"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CATTLE, COWS, MILK - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>CV (%)</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>"
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","VAN WERT","161","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","3,100","","11,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","WILLIAMS","171","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","5,300","","16,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","NORTHWEST","10","WOOD","173","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)","","6,200",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","ADAMS","001","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","2,100","","25,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","BROWN","015","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","600","","17,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","GALLIA","053","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","100","","16,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","HIGHLAND","071","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,800","","21,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","JACKSON","079","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","300","","10,400",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","LAWRENCE","087","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","100","","5,300",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","PIKE","131","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","400","","6,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTH CENTRAL","80","SCIOTO","145","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","300","","7,900",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","ATHENS","009","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","300","","7,300",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","GUERNSEY","059","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","500","","18,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","HOCKING","073","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","100","","2,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MEIGS","105","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,000","","9,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MONROE","111","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","700","","14,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MORGAN","115","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","900","","13,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","MUSKINGUM","119","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,000","","30,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","NOBLE","121","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","100","","11,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","PERRY","127","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","300","","8,400",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","VINTON","163","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","100","","2,900",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHEAST","90","WASHINGTON","167","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","2,000","","19,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","BUTLER","017","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","300","","13,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","CLERMONT","025","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","100","","4,600",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","CLINTON","027","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","500","","5,700",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","GREENE","057","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","700","","4,700",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","HAMILTON","061","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)","","1,400",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","MONTGOMERY","113","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","200","","8,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","PREBLE","135","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,100","","18,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","SOUTHWEST","70","WARREN","165","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","100","","3,800",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","AUGLAIZE","011","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","5,300","","24,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","CHAMPAIGN","021","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,100","","8,300",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","CLARK","023","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)","","16,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","DARKE","037","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,000","","38,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","HARDIN","065","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","7,300","","13,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","LOGAN","091","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","3,200","","10,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","MERCER","107","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","16,700","","77,000",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","MIAMI","109","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,300","","9,500",""
"SURVEY","2023","FIRST OF JAN","","COUNTY","OHIO","39","WEST CENTRAL","40","SHELBY","149","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","7,200","","26,000",""
